嘉兴,南湖,819225,31,FDD-LTE,室外,分布式站,正常运行,JXFL1022,嘉兴国信大楼,浙江省嘉兴市嘉兴国信大楼基站嘉兴市禾兴北路,,120.74361,30.773755,2014FDD-LTE-全国,2014-9-19
嘉兴,南湖,819225,11,FDD-LTE,室外,分布式站,正常运行,JXFL1022,嘉兴国信大楼,浙江省嘉兴市嘉兴国信大楼基站嘉兴市禾兴北路,,120.74361,30.773755,2014FDD-LTE-全国,2014-9-18
嘉兴,秀洲区,16956,21471,GSM,室外,分布式站,正常运行,JXB1219,JXB1219嘉兴王店镇中心,浙江省嘉兴市嘉兴王店镇中心基站嘉兴王店镇中村移动站,S222,120.71601,30.62575,2014历史分期-全国,2010-11-1
嘉兴,南湖,819232,21,FDD-LTE,室外,分布式站,正常运行,JXFL1029,嘉兴南湖船厂头,浙江省嘉兴市嘉兴南湖船厂头基站电信南湖船厂头,,120.74792,30.75351,2014FDD-LTE-全国,2014-9-17
嘉兴,平湖市,16945,15266,GSM,室外,标准宏站,正常运行,JXB3017,JXB3017平湖大山,浙江省嘉兴市平湖大山基站平湖九龙山风景区东区,S222,121.140692,30.618497,2014历史分期-全国,2001-12-1
嘉兴,海宁市,16912,19613,GSM,室外,标准宏站,正常运行,JXB5189,JXB5189海宁迎丰二,浙江省嘉兴市海宁迎丰二基站海宁市伊桥镇迎丰村,S322,120.63585,30.53288,2014历史分期-全国,2009-1-1
嘉兴,南湖区,55200,50101,WCDMA,室外,标准宏站,正常运行,JXW5010,嘉兴南空干休所,浙江省嘉兴市嘉兴南空干休所基站嘉兴市城南路南空干休所楼顶,S111,120.73694,30.7525,2014历史分期-全国,2009-5-1
嘉兴,嘉善县,55204,36053,WCDMA,室内,分布式站,正常运行,JXWSF3605,嘉善工商银行WSF1,嘉善工商银行,S111,120.91772,30.84653,2014历史分期-全国,2010-7-1
嘉兴,南湖,819232,31,FDD-LTE,室外,分布式站,正常运行,JXFL1029,嘉兴南湖船厂头,浙江省嘉兴市嘉兴南湖船厂头基站电信南湖船厂头,,120.74792,30.75351,2014FDD-LTE-全国,2014-9-19
嘉兴,南湖,819233,31,FDD-LTE,室外,分布式站,正常运行,JXFL1030,嘉兴市博物馆,浙江省嘉兴市博物馆,,120.759722,30.744639,2014FDD-LTE-全国,2014-9-19
嘉兴,海盐县,16912,21623,GSM,室外,标准宏站,正常运行,JXB4010,JXB4010海盐超同,浙江省嘉兴市海盐超同基站海盐百步超同移动站,S222,120.75464,30.54522,2014历史分期-全国,2010-11-1
嘉兴,秀洲区,55200,42622,WCDMA,室外,分布式站,正常运行,JXW4262,嘉兴高家桥村,浙江省嘉兴市嘉兴高家桥村,S111,120.63837,30.75653,2014历史分期-全国,2012-6-1
嘉兴,海宁市,55208,35402,WCDMA,室内,分布式站,正常运行,JXWSF3540,海宁中海大厦WSF4,海宁中海大厦,S111,120.68495,30.503763,2014历史分期-全国,2010-11-1
